,POLIS_ID,LOSS_ID,DTP_DT,CLAIM_DT,PAY_ID,PAY_AMT,PAY_DT,DAMAGE_TYPE,IS_ALCHO_DMG,IS_DISAPPEAR,EURO_PROTOCOL,CREATE_DT,START_DT,END_DT,PREMIUM,DISSOLUTION_DT,VIN,CAR_ISSUE,CAR_DIAG_DT,PERS_POLIS_OWN,PERS_CAR_OWN,KLADR_CODE,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,CAR_WEIGHT,CAR_SEATS_CNT,USE_PURPOSE_FLG,REG_COUNTRY_FLG,START1,END1,START2,END2,START3,END3,hash_vin,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP
4951,71669,1395,30.06.2018,05.07.2018,1693,1119.05,16.10.2018,1,0,0,1,2018-05-17 00:00:00,2018-05-17 00:00:00,2019-05-16 00:00:00,20161.73,,7a54fb848a51323e2b4db3ae9eb6c1b887030e33257413dcfc93615ee8a0ed63,2018.0,,3AA8DA3BC618CD083A10E1CC20439FDABD6009FC87A585896842CA49787C8FFF,3AA8DA3BC618CD083A10E1CC20439FDABD6009FC87A585896842CA49787C8FFF,50017004.0,1,1.0,181.0,0,,,1,1,2018-05-17 00:00:00,2019-05-16 00:00:00,,,,,7a54fb848a51323e2b4db3ae9eb6c1b887030e33257413dcfc93615ee8a0ed63,1119.05,3.0,19.0,0.0
4952,103540,4745,30.06.2018,02.07.2018,5651,1042.58,31.07.2018,1,0,0,0,2018-05-12 00:00:00,2018-06-13 00:00:00,2019-06-12 00:00:00,6885.3,,d620813688f63cf04e923736969d29ddf0b055804d9d8287d716db2dad7a1532,2007.0,,0E213C1687B429B79E827586E78E79222A7A5A76F0922A921F317D377275C90B,0E213C1687B429B79E827586E78E79222A7A5A76F0922A921F317D377275C90B,11000001.0,1,0.95,75.0,0,,,1,1,2018-06-13 00:00:00,2019-06-12 00:00:00,,,,,d620813688f63cf04e923736969d29ddf0b055804d9d8287d716db2dad7a1532,46904.06,4.0,28.0,8.0
4953,70410,2987,30.06.2018,20.07.2018,3597,9932.52,25.09.2018,1,0,0,1,2018-01-11 00:00:00,2018-01-29 00:00:00,2019-01-28 00:00:00,10377.36,,38eccffa7452b781fc590f13ee3b92a89df5224cc113bdb967e076e0b213bf8a,2014.0,2019-01-29 00:00:00,8AE5A3EF9F9D392356E8CE0EE80A3984AC30FDF72B0FB628AB92647DFC20C15C,8AE5A3EF9F9D392356E8CE0EE80A3984AC30FDF72B0FB628AB92647DFC20C15C,77000000.0,1,0.9,149.0,0,,,1,1,2018-01-29 00:00:00,2019-01-28 00:00:00,,,,,38eccffa7452b781fc590f13ee3b92a89df5224cc113bdb967e076e0b213bf8a,9932.52,2.0,31.0,3.0
4954,109126,1425,30.06.2018,03.07.2018,1725,17397.44,24.07.2018,1,0,0,1,2018-05-15 00:00:00,2018-05-16 00:00:00,2019-05-15 00:00:00,3012.32,,cd86f1ba475cd83261762fe9808e1c445d0d656138a589c9d7e30f10b3ea7433,2005.0,,D9BA85AA31CC7CF536DEEDAE28A1F9934907B200F811BA27821B54041730E937,3A68B3FAE0EF528712B87BCA89EED50C3ABE3FC50CFCE92B46BD7EB9AEA3ED29,5000001.0,1,0.95,77.0,-1,,,1,1,2018-05-16 00:00:00,2019-05-15 00:00:00,,,,,cd86f1ba475cd83261762fe9808e1c445d0d656138a589c9d7e30f10b3ea7433,17397.44,1.0,40.0,19.0
4955,99235,3146,30.06.2018,03.07.2018,3794,113814.38,31.07.2018,1,0,0,0,2018-02-27 00:00:00,2018-02-27 00:00:00,2019-02-26 00:00:00,10920.0,,14bda2449d6ff9e74ddd431624b3ce971ee71ad6b58d19a4a42270fc24af656f,2013.0,,57265967E40C14120D38A5123537F5846DCBA7DCD511E6B130477CA4891AC08E,57265967E40C14120D38A5123537F5846DCBA7DCD511E6B130477CA4891AC08E,77000000.0,1,1.0,126.0,0,,,1,1,2018-02-27 00:00:00,2019-02-26 00:00:00,,,,,14bda2449d6ff9e74ddd431624b3ce971ee71ad6b58d19a4a42270fc24af656f,113814.38,2.0,34.0,10.0
4956,21413,4705,30.06.2019,30.06.2019,5606,8750.09,24.07.2019,1,0,0,1,2018-07-16 00:00:00,2018-07-18 00:00:00,2019-07-17 00:00:00,12518.72,,d71a6747e27ee1fb69b813820759cce19d74fc41cda0efee1135005a93622caf,2012.0,2019-07-15 00:00:00,1165345A95C200B354F7EE82C041FF7F320BA2843A8BC05657991F4B6462FC4E,1165345A95C200B354F7EE82C041FF7F320BA2843A8BC05657991F4B6462FC4E,77000000.0,1,0.95,184.0,0,,,1,1,2018-07-18 00:00:00,2019-07-17 00:00:00,,,,,d71a6747e27ee1fb69b813820759cce19d74fc41cda0efee1135005a93622caf,8750.09,2.0,32.0,10.0
4957,70978,4483,30.06.2019,02.07.2019,5346,55672.46,30.07.2019,1,0,0,1,2019-03-05 00:00:00,2019-03-12 00:00:00,2020-03-11 00:00:00,7392.63,,38bae02bf66a815b01eae9bd79a57b245c8a9be5557bb5c212820654d1b32012,2001.0,2019-03-12 00:00:00,8EB7897E3BAF290F2805AF48EC7AE72B40F197573AD6D2E51C1906632DE5699A,8EB7897E3BAF290F2805AF48EC7AE72B40F197573AD6D2E51C1906632DE5699A,30009000.0,1,1.0,107.0,0,,,1,1,2019-03-12 00:00:00,2020-03-11 00:00:00,,,,,38bae02bf66a815b01eae9bd79a57b245c8a9be5557bb5c212820654d1b32012,55672.46,2.0,22.0,1.0
4958,12680,1998,30.06.2019,03.07.2019,2388,59511.32,03.09.2019,1,0,0,0,2018-10-30 00:00:00,2018-11-03 00:00:00,2019-11-02 00:00:00,5435.76,,88648f39c72984df83a47979dfe1a2eb8006c424c9fc0a80fbb84d7bc9906c5f,2016.0,,6FFFBED431BCFC3B33749C6730C017EFDE6292BA0BE28FAF26EAC5A0B12FBEBC,6FFFBED431BCFC3B33749C6730C017EFDE6292BA0BE28FAF26EAC5A0B12FBEBC,63000001.0,1,0.75,87.0,-1,,,1,1,2018-11-03 00:00:00,2019-11-02 00:00:00,,,,,88648f39c72984df83a47979dfe1a2eb8006c424c9fc0a80fbb84d7bc9906c5f,59511.32,1.0,33.0,15.0
4959,76562,2024,30.06.2019,04.07.2019,2417,84413.0,18.07.2019,1,0,0,1,2018-09-20 00:00:00,2018-09-26 00:00:00,2019-09-25 00:00:00,5188.68,,401f54a4c08af7b114b3f270bd882502b1f8cabfa287802343af2fa2447ebffe,2013.0,2020-09-20 00:00:00,B0163665C7711FF470AB25BB2B261C80C770E0346EDE4D19783DA423578CF475,B0163665C7711FF470AB25BB2B261C80C770E0346EDE4D19783DA423578CF475,78000000.0,1,0.5,136.0,0,,,1,1,2018-09-26 00:00:00,2019-09-25 00:00:00,,,,,401f54a4c08af7b114b3f270bd882502b1f8cabfa287802343af2fa2447ebffe,84413.0,1.0,57.0,24.0
4960,43774,3900,30.06.2019,12.07.2019,4677,138384.87,29.07.2019,1,0,0,0,2018-12-10 00:00:00,2018-12-14 00:00:00,2019-12-13 00:00:00,6588.8,,,2012.0,,0F7BF8774E53228F88334EF024B266F08A129F69F79D1DA5E01211FBFF444E15,0F7BF8774E53228F88334EF024B266F08A129F69F79D1DA5E01211FBFF444E15,28000001.0,1,1.0,69.0,-1,,,1,1,2018-12-14 00:00:00,2019-12-13 00:00:00,,,,,,138384.87,2.0,28.0,6.0
