,USE_PURPOSE_FLG_2,USE_PURPOSE_FLG_3,USE_PURPOSE_FLG_5,USE_PURPOSE_FLG_6,REG_COUNTRY_FLG_1,REG_COUNTRY_FLG_2,FO_num_2.0,FO_num_3.0,FO_num_4.0,FO_num_5.0,FO_num_6.0,FO_num_7.0,FO_num_8.0,FO_num_nan,DAMAGE_TYPE_2,DAMAGE_TYPE_3,DTP_DT,EURO_PROTOCOL,PREMIUM,MULTIDRIVE_FLG,BONUS_MALUS,CAR_ENG_PWR,TRAILER_FLG,PAY_AMT_sum,DRIVER_COUNT,MIN_DRIVER_AGE,MIN_DRIVER_EXP,polis_length,days_to_dtp,carr_issue_diff,start1_diff,end1_diff,car_diag_diff
54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-01,0,4076.82,1,0.5,76.7,-1,13600.8,1.0,56.0,26.0,364.0,22.0,14.0,0.0,364.0,0.0
55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018-05-01,0,10599.73,0,1.0,77.0,-1,31766.7,2.0,35.0,10.0,364.0,76.0,13.0,0.0,364.0,-1.0
56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-05-01,0,7783.02,1,0.9,147.0,0,79989.29,1.0,27.0,6.0,364.0,14.0,8.0,0.0,364.0,1.0
57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,5376.46,1,0.5,170.0,0,23395.97,1.0,42.0,12.0,365.0,56.0,7.0,0.0,365.0,362.0
58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,9858.49,1,0.95,140.0,0,13316.04,2.0,31.0,9.0,364.0,308.0,5.0,0.0,364.0,-732.0
59,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,5376.46,1,0.5,170.0,0,23395.97,1.0,42.0,12.0,365.0,56.0,7.0,0.0,365.0,362.0
60,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,6457.02,1,0.7,150.0,0,24723.01,1.0,56.0,15.0,364.0,123.0,6.0,0.0,364.0,-1.0
61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,9800.84,1,1.0,123.0,0,18981.15,2.0,29.0,7.0,364.0,315.0,6.0,0.0,364.0,732.0
62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,4484.5,1,0.9,77.7,-1,30450.58,1.0,32.0,14.0,364.0,257.0,14.0,0.0,364.0,-1.0
63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,9800.84,1,1.0,145.4,0,102912.63,2.0,48.0,1.0,364.0,312.0,0.0,0.0,364.0,-1.0
64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,4235.36,1,0.85,80.0,0,130035.82,1.0,29.0,10.0,364.0,144.0,13.0,0.0,364.0,56.0
65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-05-01,0,1647.36,1,0.5,78.0,0,148082.04,3.0,45.0,10.0,365.0,42.0,16.0,0.0,365.0,353.0
66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-01,1,12951.99,1,1.4,106.0,0,21328.35,2.0,22.0,4.0,365.0,320.0,2.0,0.0,365.0,-1.0
67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-01,1,7339.04,1,0.85,117.0,0,12221.98,2.0,30.0,6.0,365.0,236.0,7.0,0.0,365.0,361.0
68,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-01,1,9632.49,1,0.85,123.0,0,75328.74,1.0,33.0,6.0,365.0,232.0,6.0,0.0,365.0,-366.0
69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-01,1,9609.6,1,1.0,150.0,0,13853.79,2.0,27.0,9.0,364.0,58.0,18.0,0.0,364.0,0.0
70,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-01,0,4892.18,1,0.9,84.0,0,22060.22,2.0,37.0,18.0,364.0,76.0,4.0,0.0,364.0,-1.0
71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-01,0,11200.96,1,1.0,220.0,-1,29731.43,2.0,32.0,3.0,364.0,26.0,6.0,0.0,364.0,-1.0
72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018-06-01,0,4529.8,1,1.0,89.0,0,35032.21,1.0,47.0,8.0,364.0,42.0,12.0,0.0,364.0,365.0
73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-01,0,9339.62,1,0.9,123.0,0,55569.74,1.0,33.0,12.0,364.0,116.0,0.0,0.0,364.0,-1.0
74,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,0,20945.8,1,1.0,157.0,0,6653.4,3.0,18.0,0.0,364.0,107.0,11.0,0.0,364.0,-366.0
75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,1,6220.8,1,0.75,115.0,0,8622.36,1.0,38.0,17.0,365.0,49.0,16.0,0.0,365.0,366.0
76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,1,4544.3,1,0.95,75.0,0,33402.77,2.0,30.0,11.0,364.0,114.0,31.0,0.0,364.0,-1.0
77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,0,10673.86,0,1.0,120.0,0,79904.78,2.0,35.0,10.0,364.0,172.0,6.0,0.0,364.0,365.0
78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-01,0,2361.22,1,0.65,87.0,-1,6793.05,1.0,41.0,14.0,365.0,272.0,7.0,0.0,365.0,356.0
79,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-01,0,8974.08,1,0.95,105.0,-1,49236.41,1.0,31.0,10.0,365.0,170.0,5.0,0.0,365.0,-1.0
80,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-01,0,6989.4,1,0.85,306.0,0,58765.83,3.0,26.0,8.0,365.0,355.0,8.0,0.0,365.0,-2.0
81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-01,0,5372.0,1,0.5,179.0,0,2948.31,1.0,28.0,10.0,364.0,112.0,2.0,0.0,364.0,-1.0
82,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-07-01,0,3623.84,1,0.5,73.0,0,65810.8,1.0,52.0,19.0,364.0,59.0,8.0,0.0,364.0,-1.0
